IP,Name,Sources
3.211.124.183/32,PerplexityBot,https://www.perplexity.ai/perplexitybot.json
3.222.232.239/32,PerplexityBot,https://www.perplexity.ai/perplexitybot.json
3.224.62.45/32,PerplexityBot,https://www.perplexity.ai/perplexitybot.json
3.231.139.107/32,PerplexityBot,https://www.perplexity.ai/perplexitybot.json
4.151.71.176/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.151.119.48/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.151.241.240/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.189.118.208/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.189.119.48/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.197.19.176/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.197.22.112/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.197.64.0/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.197.64.16/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.197.64.48/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.197.64.64/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.197.115.112/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.198.72.16/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.198.96.112/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.201.232.64/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.201.232.80/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.205.128.176/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.218.24.64/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.226.200.16/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.226.226.32/28,ChatGPT User,https://openai.com/chatgpt-user.json
4.227.36.0/25,GPTBot|OpenAI SearchBot,https://openai.com/gptbot.json|https://openai.com/searchbot.json
9.129.0.0/17,ChatGPT User,https://openai.com/chatgpt-user.json
9.160.34.144/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.160.36.16/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.160.96.16/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.160.128.16/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.160.128.64/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.160.163.128/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.163.101.48/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.205.8.48/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.205.8.64/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.205.25.128/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.205.30.128/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.205.30.144/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.205.30.176/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.205.128.32/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.205.128.48/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.223.181.208/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.234.96.192/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.234.97.96/28,ChatGPT User,https://openai.com/chatgpt-user.json
9.234.97.128/28,ChatGPT User,https://openai.com/chatgpt-user.json
13.65.138.112/28,ChatGPT User,https://openai.com/chatgpt-user.json
13.67.72.16/28,ChatGPT User,https://openai.com/chatgpt-user.json
13.71.2.208/28,ChatGPT User,https://openai.com/chatgpt-user.json
13.76.32.208/28,ChatGPT User,https://openai.com/chatgpt-user.json
13.76.116.80/28,ChatGPT User,https://openai.com/chatgpt-user.json
13.83.167.128/28,ChatGPT User,https://openai.com/chatgpt-user.json
13.83.237.176/28,ChatGPT User,https://openai.com/chatgpt-user.json
18.97.1.228/30,PerplexityBot,https://www.perplexity.ai/perplexitybot.json
18.97.9.96/29,PerplexityBot,https://www.perplexity.ai/perplexitybot.json
18.97.21.0/30,Perplexity User,https://www.perplexity.ai/perplexity-user.json
18.97.43.80/29,Perplexity User,https://www.perplexity.ai/perplexity-user.json
18.210.92.235/32,PerplexityBot,https://www.perplexity.ai/perplexitybot.json
20.14.99.96/28,OpenAI SearchBot,https://openai.com/searchbot.json
20.17.108.96/28,ChatGPT User,https://openai.com/chatgpt-user.json
20.25.151.224/28,OpenAI SearchBot,https://openai.com/searchbot.json
20.27.94.128/28,ChatGPT User,https://openai.com/chatgpt-user.json
20.42.10.176/28,OpenAI SearchBot,https://openai.com/searchbot.json
20.45.178.144/28,ChatGPT User,https://openai.com/chatgpt-user.json
20.55.229.144/28,ChatGPT User,https://openai.com/chatgpt-user.json
20.57.199.192/28,ChatGPT User,https://openai.com/chatgpt-user.json
20.63.180.96/28,ChatGPT User,https://openai.com/chatgpt-user.json
20.63.221.64/28,ChatGPT User,https://openai.com/chatgpt-user.json
20.83.243.176/28,ChatGPT User,https://openai.com/chatgpt-user.json
