IP,Name,Sources
1.0.0.1,Cloudflare DNS,https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
1.0.0.2,Cloudflare DNS for Families (block malware),https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
1.0.0.3,Cloudflare DNS for Families (block malware + adult content),https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
1.1.1.1,Cloudflare DNS,https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
1.1.1.2,Cloudflare DNS for Families (block malware),https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
1.1.1.3,Cloudflare DNS for Families (block malware + adult content),https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
1.7.225.0/24,Palo Alto Networks,https://radb.net|https://stat.ripe.net
3.18.12.63,Stripe,https://stripe.com/files/ips/ips_webhooks.txt
3.69.109.8,Stripe,https://stripe.com/files/ips/ips_webhooks.txt
3.120.168.93,Stripe,https://stripe.com/files/ips/ips_webhooks.txt
3.130.192.231,Stripe,https://stripe.com/files/ips/ips_webhooks.txt
4.2.2.1,Level3 / Lumen Technologies DNS,https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
4.2.2.2,Level3 / Lumen Technologies DNS,https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
4.2.2.3,Level3 / Lumen Technologies DNS,https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
4.2.2.4,Level3 / Lumen Technologies DNS,https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
4.2.2.5,Level3 / Lumen Technologies DNS,https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
4.2.2.6,Level3 / Lumen Technologies DNS,https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
5.9.71.119,Bunny CDN,https://api.bunny.net/system/edgeserverlist/plain
5.9.98.45,Bunny CDN,https://api.bunny.net/system/edgeserverlist/plain
5.9.99.73,Bunny CDN,https://api.bunny.net/system/edgeserverlist/plain
5.9.144.178,Bunny CDN,https://api.bunny.net/system/edgeserverlist/plain
5.42.206.66,Bunny CDN,https://api.bunny.net/system/edgeserverlist/plain
5.189.202.62,Bunny CDN,https://api.bunny.net/system/edgeserverlist/plain
8.8.4.4,Google Public DNS,https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
8.8.8.8,Google Public DNS,https://github.com/sefinek/trusted-ips-whitelist/blob/main/custom/dns-resolvers.txt
8.52.139.20,Bunny CDN,https://api.bunny.net/system/edgeserverlist/plain
8.52.139.28,Bunny CDN,https://api.bunny.net/system/edgeserverlist/plain
8.52.139.36,Bunny CDN,https://api.bunny.net/system/edgeserverlist/plain
8.52.139.44,Bunny CDN,https://api.bunny.net/system/edgeserverlist/plain
8.52.139.52,Bunny CDN,https://api.bunny.net/system/edgeserverlist/plain
