IP,Name,Sources
3.12.251.153,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
3.20.63.178,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
3.77.67.4,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
3.79.134.69,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
3.105.133.239,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
3.105.190.221,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
3.133.226.214,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
3.149.57.90,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
3.212.128.62,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
5.161.16.172,Pulsetic,https://api.pulsetic.com/ip-ranges.txt
5.161.60.52,Pulsetic,https://api.pulsetic.com/ip-ranges.txt
5.161.61.238,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
5.161.73.160,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
5.161.75.7,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
5.161.90.230,BetterStack,https://uptime.betterstack.com/ips.txt
5.161.113.195,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
5.161.117.52,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
5.161.118.194,BetterStack,https://uptime.betterstack.com/ips.txt
5.161.123.19,Pulsetic,https://api.pulsetic.com/ip-ranges.txt
5.161.177.47,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
5.161.194.92,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
5.161.215.244,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
5.223.43.32,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
5.223.53.147,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
5.223.56.56,BetterStack,https://uptime.betterstack.com/ips.txt
5.223.57.22,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
5.223.60.188,BetterStack,https://uptime.betterstack.com/ips.txt
5.223.61.55,Pulsetic,https://api.pulsetic.com/ip-ranges.txt
5.223.73.226,BetterStack,https://uptime.betterstack.com/ips.txt
5.223.75.121,BetterStack,https://uptime.betterstack.com/ips.txt
13.232.220.164,PingdomBot,https://my.pingdom.com/probes/ipv4
18.116.205.62,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
18.180.208.214,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
18.192.166.72,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
18.193.252.127,UptimeRobot,https://uptimerobot.com/inc/files/ips/IPv4andIPv6.txt
