IP,Name,Sources
1.0.0.1,Cloudflare DNS,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
1.0.0.2,Cloudflare for Families (block malware),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
1.0.0.3,Cloudflare for Families (block malware + adult content),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
1.1.1.1,Cloudflare DNS,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
1.1.1.2,Cloudflare for Families (block malware),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
1.1.1.3,Cloudflare for Families (block malware + adult content),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
4.2.2.1,Level3 / Lumen Technologies,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
4.2.2.2,Level3 / Lumen Technologies,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
4.2.2.3,Level3 / Lumen Technologies,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
4.2.2.4,Level3 / Lumen Technologies,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
4.2.2.5,Level3 / Lumen Technologies,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
4.2.2.6,Level3 / Lumen Technologies,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
8.8.4.4,Google Public DNS,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
8.8.8.8,Google Public DNS,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
9.9.9.9,Quad9 (block malware + DNSSEC),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
9.9.9.10,Quad9 (unfiltered),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
77.88.8.1,Yandex DNS Basic,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
77.88.8.2,Yandex DNS Safe (block malware + fraud),https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/dns-resolvers.txt
