IP,Name,Source
15.235.224.227,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
15.235.224.238,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
15.235.224.239,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
15.235.227.163,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
23.106.244.195,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
31.14.32.4,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
31.14.32.5,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
31.14.32.6,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
31.14.32.7,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
31.14.32.8,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
46.105.70.190,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
51.161.172.223,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
51.161.174.170,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
54.37.81.238,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
57.128.230.106,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
57.129.64.10,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
57.129.64.219,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
57.129.64.237,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
91.134.73.222,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
91.134.73.230,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
104.236.209.11,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
134.199.202.6,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
134.199.207.201,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
134.209.173.54,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
134.209.199.75,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
148.113.193.79,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
148.113.206.49,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
148.113.208.45,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
148.113.210.228,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
148.113.210.254,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
148.113.212.55,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
148.113.213.23,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
148.113.214.202,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
148.113.214.204,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
148.113.214.206,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
148.113.214.212,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
165.22.200.16,Modat Scanner,https://github.com/sefinek/known-bots-ip-whitelist/blob/main/custom/modat.txt
