IP,Name,Sources
91.194.210.0/23,NASK PL,stat.ripe.net
91.194.210.0/24,NASK PL,stat.ripe.net
153.92.26.0/24,NASK PL,stat.ripe.net
193.59.0.0/16,NASK PL,stat.ripe.net
194.92.0.0/16,NASK PL,stat.ripe.net
194.92.102.0/24,NASK PL,stat.ripe.net
194.181.0.0/16,NASK PL,stat.ripe.net
195.164.0.0/16,NASK PL,stat.ripe.net
195.187.0.0/18,NASK PL,stat.ripe.net
195.187.128.0/17,NASK PL,stat.ripe.net
217.9.165.0/24,NASK PL,stat.ripe.net
2001:a10::/32,NASK PL,stat.ripe.net
2001:a10:220::/48,NASK PL,stat.ripe.net
2a0a:3a40::/32,NASK PL,stat.ripe.net
2a0a:3a40:1004::/48,NASK PL,stat.ripe.net
