IP,Name,Sources
4.227.36.0/25,OpenAI SearchBot,https://openai.com/searchbot.json
20.14.99.96/28,OpenAI SearchBot,https://openai.com/searchbot.json
20.25.151.224/28,OpenAI SearchBot,https://openai.com/searchbot.json
20.42.10.176/28,OpenAI SearchBot,https://openai.com/searchbot.json
20.168.18.32/28,OpenAI SearchBot,https://openai.com/searchbot.json
20.169.6.224/28,OpenAI SearchBot,https://openai.com/searchbot.json
20.169.7.48/28,OpenAI SearchBot,https://openai.com/searchbot.json
20.169.77.0/25,OpenAI SearchBot,https://openai.com/searchbot.json
20.171.53.224/28,OpenAI SearchBot,https://openai.com/searchbot.json
20.171.123.64/28,OpenAI SearchBot,https://openai.com/searchbot.json
40.67.175.0/25,OpenAI SearchBot,https://openai.com/searchbot.json
40.90.214.16/28,OpenAI SearchBot,https://openai.com/searchbot.json
51.8.102.0/24,OpenAI SearchBot,https://openai.com/searchbot.json
74.7.175.128/25,OpenAI SearchBot,https://openai.com/searchbot.json
74.7.228.0/25,OpenAI SearchBot,https://openai.com/searchbot.json
74.7.228.128/25,OpenAI SearchBot,https://openai.com/searchbot.json
74.7.229.0/25,OpenAI SearchBot,https://openai.com/searchbot.json
74.7.229.128/25,OpenAI SearchBot,https://openai.com/searchbot.json
74.7.230.0/25,OpenAI SearchBot,https://openai.com/searchbot.json
74.7.241.128/25,OpenAI SearchBot,https://openai.com/searchbot.json
74.7.242.128/25,OpenAI SearchBot,https://openai.com/searchbot.json
74.7.243.0/25,OpenAI SearchBot,https://openai.com/searchbot.json
74.7.244.0/25,OpenAI SearchBot,https://openai.com/searchbot.json
104.210.140.128/28,OpenAI SearchBot,https://openai.com/searchbot.json
135.234.64.0/24,OpenAI SearchBot,https://openai.com/searchbot.json
172.182.193.80/28,OpenAI SearchBot,https://openai.com/searchbot.json
172.182.193.224/28,OpenAI SearchBot,https://openai.com/searchbot.json
172.182.194.32/28,OpenAI SearchBot,https://openai.com/searchbot.json
172.182.194.144/28,OpenAI SearchBot,https://openai.com/searchbot.json
172.182.195.48/28,OpenAI SearchBot,https://openai.com/searchbot.json
172.182.209.208/28,OpenAI SearchBot,https://openai.com/searchbot.json
172.182.211.192/28,OpenAI SearchBot,https://openai.com/searchbot.json
172.182.213.192/28,OpenAI SearchBot,https://openai.com/searchbot.json
172.182.224.0/28,OpenAI SearchBot,https://openai.com/searchbot.json
172.203.190.128/28,OpenAI SearchBot,https://openai.com/searchbot.json
