IP,Name,Source
2001:67c:4e8::/48,TelegramBot,https://core.telegram.org/resources/cidr.txt
2001:b28:f23c::/48,TelegramBot,https://core.telegram.org/resources/cidr.txt
2001:b28:f23d::/48,TelegramBot,https://core.telegram.org/resources/cidr.txt
2001:b28:f23f::/48,TelegramBot,https://core.telegram.org/resources/cidr.txt
2a0a:f280::/32,TelegramBot,https://core.telegram.org/resources/cidr.txt
91.105.192.0/23,TelegramBot,https://core.telegram.org/resources/cidr.txt
91.108.4.0/22,TelegramBot,https://core.telegram.org/resources/cidr.txt
91.108.8.0/22,TelegramBot,https://core.telegram.org/resources/cidr.txt
91.108.12.0/22,TelegramBot,https://core.telegram.org/resources/cidr.txt
91.108.16.0/22,TelegramBot,https://core.telegram.org/resources/cidr.txt
91.108.20.0/22,TelegramBot,https://core.telegram.org/resources/cidr.txt
91.108.56.0/22,TelegramBot,https://core.telegram.org/resources/cidr.txt
149.154.160.0/20,TelegramBot,https://core.telegram.org/resources/cidr.txt
185.76.151.0/24,TelegramBot,https://core.telegram.org/resources/cidr.txt
