IP,Name,Sources
1.15.0.15,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
13.36.154.207,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
13.208.89.86,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
13.246.114.251,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
15.184.48.78,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
16.26.200.71,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
18.203.101.63,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
20.74.211.96,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
20.216.56.115,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
20.233.19.247,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
20.233.37.119,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.21.9.50,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.39.131.22,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.40.137.12,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.84.123.12,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.91.238.70,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.92.96.4,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.94.159.140,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.101.194.174,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.106.208.213,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.124.137.169,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.130.107.20,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.154.170.5,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.159.56.80,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
34.240.49.81,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
35.228.243.201,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
35.242.177.6,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
43.138.124.228,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
43.200.31.191,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
43.204.105.75,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
43.210.49.103,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
52.208.1.171,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
74.243.255.151,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
81.69.231.117,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
82.156.71.105,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
82.156.238.27,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
101.43.244.140,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
104.199.223.119,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
158.252.53.73,WebPageTest Bot,https://www.webpagetest.org/addresses.php?f=json
