IP,Name,Source
5.45.192.0/18,YandexBot,https://yandex.com/ips
5.255.192.0/18,YandexBot,https://yandex.com/ips
37.9.64.0/18,YandexBot,https://yandex.com/ips
37.140.128.0/18,YandexBot,https://yandex.com/ips
2a02:6b8::/29,YandexBot,https://yandex.com/ips
77.88.0.0/18,YandexBot,https://yandex.com/ips
84.252.160.0/19,YandexBot,https://yandex.com/ips
87.250.224.0/19,YandexBot,https://yandex.com/ips
90.156.176.0/20,YandexBot,https://yandex.com/ips
92.255.112.0/20,YandexBot,https://yandex.com/ips
93.158.128.0/18,YandexBot,https://yandex.com/ips
95.108.128.0/17,YandexBot,https://yandex.com/ips
141.8.128.0/18,YandexBot,https://yandex.com/ips
178.154.128.0/18,YandexBot,https://yandex.com/ips
185.32.187.0/24,YandexBot,https://yandex.com/ips
213.180.192.0/19,YandexBot,https://yandex.com/ips
